Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Syria,Eastern Mediterranean,29498,168.55,820,4.69,0,2077,11.87,33,0.19,0
Guyana,Americas,27976,3556.79,1466,186.38,194,683,86.83,42,5.34,9
Gabon,Africa,26903,1208.72,1015,45.6,265,173,7.77,8,0.36,3
Togo,Africa,23778,287.22,1798,21.72,160,207,2.5,17,0.21,2
Haiti,Americas,21271,186.55,132,1.16,93,596,5.23,8,0.07,5
Seychelles,Africa,20593,20939.12,312,317.24,0,106,107.78,3,3.05,0
Mayotte,Africa,20067,7355.53,142,52.05,26,176,64.51,1,0.37,1
Benin,Africa,19841,163.66,3909,32.24,0,141,1.16,10,0.08,0
Bahamas,Americas,19601,4984.44,621,157.92,86,463,117.74,17,4.32,0
Timor-Leste,South-East Asia,18715,1419.48,827,62.73,118,98,7.43,13,0.99,2
Papua New Guinea,Western Pacific,18542,207.24,266,2.97,130,204,2.28,10,0.11,8
Somalia,Eastern Mediterranean,18373,115.6,426,2.68,0,1023,6.44,18,0.11,0
Laos,Western Pacific,17555,241.29,1497,20.58,198,16,0.22,0,0,0
Tajikistan,Europe,17484,183.32,79,0.83,0,125,1.31,0,0,0
Belize,Americas,17405,4377.21,655,164.73,0,373,93.81,10,2.51,0
Curaçao,Americas,15713,9575.67,243,148.09,117,154,93.85,5,3.05,1
Andorra,Europe,15096,19537.95,27,34.94,13,130,168.25,0,0,0
Aruba,Americas,15076,14120.6,234,219.17,85,155,145.18,5,4.68,1
Mali,Africa,14985,74,75,0.37,1,543,2.68,4,0.02,0
Lesotho,Africa,14395,671.96,0,0,0,403,18.81,0,0,0
Burundi,Africa,14189,119.33,1119,9.41,0,12,0.1,2,0.02,0
Burkina Faso,Africa,13950,66.74,99,0.47,8,171,0.82,0,0,0
Mauritius,Africa,13782,1083.69,1166,91.68,493,45,3.54,11,0.86,2
Congo,Africa,13701,248.29,113,2.05,0,183,3.32,0,0,0
Djibouti,Eastern Mediterranean,11860,1200.4,75,7.59,0,157,15.89,0,0,0
S. Sudan,Africa,11693,104.46,159,1.42,79,120,1.07,0,0,0
Guam,Western Pacific,11615,6881.94,760,450.3,237,168,99.54,15,8.89,9
Central African Rep.,Africa,11309,234.15,13,0.27,0,100,2.07,0,0,0
Iceland,Europe,11307,3105.18,244,67.01,60,33,9.06,0,0,0
Equatorial Guinea,Africa,10498,748.26,1021,72.77,0,131,9.34,5,0.36,0
Saint Lucia,Americas,9961,5424.58,812,442.2,138,132,71.88,16,8.71,0
Gambia,Africa,9848,407.5,59,2.44,0,328,13.57,0,0,0
Nicaragua,Americas,9732,146.91,449,6.78,0,201,3.03,1,0.02,0
Jersey,Europe,9612,8916.84,204,189.25,0,78,72.36,1,0.93,0
Yemen,Eastern Mediterranean,8414,28.21,272,0.91,0,1584,5.31,54,0.18,0
Isle of Man,Europe,7009,8242.78,186,218.74,23,48,56.45,0,0,0
Eritrea,Africa,6657,187.71,9,0.25,2,40,1.13,2,0.06,0
Sierra Leone,Africa,6385,80.04,11,0.14,6,121,1.52,0,0,0
United States Virgin Islands,Americas,6289,6022.5,263,251.86,107,66,63.2,6,5.75,3
Guinea-Bissau,Africa,6022,306,120,6.1,0,125,6.35,4,0.2,0
Niger,Africa,5929,24.49,41,0.17,17,200,0.83,1,0,1
Barbados,Americas,5906,2055.15,557,193.82,62,52,18.09,1,0.35,1
Liberia,Africa,5727,113.23,0,0,0,245,4.84,0,0,0
Gibraltar,Europe,5436,16134.87,44,130.6,5,97,287.91,0,0,0
San Marino,Europe,5399,15908.42,48,141.43,11,90,265.19,0,0,0
Chad,Africa,5019,30.56,21,0.13,1,174,1.06,0,0,0
Brunei,Western Pacific,4323,988.16,859,196.35,160,18,4.11,5,1.14,1
Comoros,Africa,4100,471.48,28,3.22,3,147,16.9,0,0,0
Sint Maarten,Americas,3979,9278.95,155,361.46,32,57,132.92,0,0,0
Saint Martin,Americas,3659,9464.81,115,297.47,115,33,85.36,2,5.17,2
New Zealand,Western Pacific,3610,74.86,153,3.17,17,27,0.56,0,0,0
Bermuda,Americas,3519,5650.92,471,756.35,0,35,56.2,1,1.61,0
Liechtenstein,Europe,3496,9022.63,32,82.59,0,58,149.69,0,0,0
Monaco,Europe,3281,8360.51,41,104.47,5,35,89.19,0,0,0
Sao Tome and Principe,Africa,2825,1289.02,191,87.15,9,39,17.8,2,0.91,0
Turks and Caicos Islands,Americas,2758,7123.3,61,157.55,22,20,51.66,0,0,0
British Virgin Islands,Americas,2642,8737.64,2,6.61,0,37,122.37,0,0,0
Bhutan,South-East Asia,2596,336.44,0,0,0,3,0.39,0,0,0
Saint Vincent and the Grenadines,Americas,2513,2265.19,134,120.79,92,12,10.82,0,0,0
Dominica,Americas,2498,3469.88,500,694.53,218,7,9.72,2,2.78,1
Grenada,Americas,2386,2120.46,1148,1020.24,439,27,24,15,13.33,8
Antigua and Barbuda,Americas,2297,2345.58,427,436.03,131,48,49.02,2,2.04,0
Bonaire,Americas,1897,9070.05,95,454.22,37,17,81.28,0,0,0
Saint Barthélemy,Americas,1613,16317.65,6,60.7,6,2,20.23,0,0,0
Saint Kitts and Nevis,Americas,1476,2774.85,246,462.48,12,7,13.16,2,3.76,1
Guernsey,Europe,1417,2197.99,42,65.15,0,18,27.92,0,0,0
Tanzania,Africa,1367,2.29,0,0,0,50,0.08,0,0,0
New Caledonia,Western Pacific,1286,450.44,1150,402.8,329,4,1.4,4,1.4,3
Faroe Islands,Europe,1041,2130.36,21,42.98,6,2,4.09,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,729,1109.25,38,57.82,0,2,3.04,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Greenland,Europe,395,695.77,42,73.98,0,0,0,0,0,0
Anguilla,Americas,318,2119.72,22,146.65,6,0,0,0,0,0
Northern Mariana Islands,Western Pacific,256,444.78,8,13.9,5,2,3.47,0,0,0
Falkland Is.,Americas,64,1837.5,0,0,0,0,0,0,0,0
Montserrat,Americas,32,640.13,1,20,0,1,20,0,0,0
Saint Pierre and Miquelon,Americas,31,534.94,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Sint Eustatius,Americas,24,764.57,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,11,569.06,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Palau,Western Pacific,3,16.58,1,5.53,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
North Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia,Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
